#separator:tab
#html:true
#tags column:3
#columns:Front	Back	Tags
When should you use the Factory Method?	<ol><li>Use the Factory Method when you don’t know beforehand the exact types and dependencies of the objects your code should work with.</li><li>Use the Factory Method when you want to provide users of your library or framework with a way to extend its internal components.</li><li>Use the Factory Method when you want to save system resources by reusing existing objects instead of rebuilding them each time.</li></ol>	design-patterns creational factory-method
When should you use the Abstract Factory?	<ol><li>Use the Abstract Factory when your code needs to work with various families of related products, but you don’t want it to depend on the concrete classes of those products—they might be unknown beforehand or you simply want to allow for future extensibility.</li><li>Consider implementing the Abstract Factory when you have a class with a set of Factory Methods that blur its primary responsibility.</li></ol>	design-patterns creational abstract-factory
When should you use the Builder?	<ol><li>Use the Builder pattern to get rid of a “telescoping constructor”.</li><li>Use the Builder pattern when you want your code to be able to create different representations of some product (for example, stone and wooden houses).</li><li>Use the Builder to construct Composite trees or other complex objects.</li></ol>	design-patterns creational builder
When should you use the Prototype?	<ol><li>Use the Prototype pattern when your code shouldn’t depend on the concrete classes of objects that you need to copy.</li><li>Use the pattern when you want to reduce the number of subclasses that only differ in the way they initialize their respective objects.</li></ol>	design-patterns creational prototype
When should you use the Singleton?	<ol><li>Use the Singleton pattern when a class in your program should have just a single instance available to all clients; for example, a single database object shared by different parts of the program.</li><li>Use the Singleton pattern when you need stricter control over global variables.</li></ol>	design-patterns creational singleton
When should you use the Adapter?	<ol><li>Use the Adapter class when you want to use some existing class, but its interface isn’t compatible with the rest of your code.</li><li>Use the pattern when you want to reuse several existing subclasses that lack some common functionality that can’t be added to the superclass.</li></ol>	design-patterns structural adapter
When should you use the Bridge?	<ol><li>Use the Bridge pattern when you want to divide and organize a monolithic class that has several variants of some functionality (for example, if the class can work with various database servers).</li><li>Use the pattern when you need to extend a class in several orthogonal (independent) dimensions.</li><li>Use the Bridge if you need to be able to switch implementations at runtime.</li></ol>	design-patterns structural bridge
When should you use the Composite?	<ol><li>Use the Composite pattern when you have to implement a tree-like object structure.</li><li>Use the pattern when you want the client code to treat both simple and complex elements uniformly.</li></ol>	design-patterns structural composite
When should you use the Decorator?	<ol><li>Use the Decorator pattern when you need to be able to assign extra behaviors to objects at runtime without breaking the code that uses these objects.</li><li>Use the pattern when it’s awkward or not possible to extend an object’s behavior using inheritance.</li></ol>	design-patterns structural decorator
When should you use the Facade?	<ol><li>Use the Facade pattern when you need to have a limited but straightforward interface to a complex subsystem.</li><li>Use the Facade when you want to structure a subsystem into layers.</li></ol>	design-patterns structural facade
When should you use the Flyweight?	<ol><li>Use the Flyweight pattern only when your program must support a huge number of objects which barely fit into available RAM.</li></ol><p>It’s most useful when:</p><ul><li>an application needs to spawn a huge number of similar objects</li><li>this drains all available RAM on a target device</li><li>the objects contain duplicate states which can be extracted and shared between multiple objects</li></ul>	design-patterns structural flyweight
When should you use the Proxy?	<p>There are dozens of ways to utilize the Proxy pattern. The most popular uses:</p><ol><li><b>Lazy initialization (virtual proxy).</b> Use when you have a heavyweight service object that wastes system resources by being always up, even though you only need it from time to time.</li><li><b>Access control (protection proxy).</b> Use when you want only specific clients to be able to use the service object.</li><li><b>Local execution of a remote service (remote proxy).</b> Use when the service object is located on a remote server.</li><li><b>Logging requests (logging proxy).</b> Use when you want to keep a history of requests to the service object.</li><li><b>Caching request results (caching proxy).</b> Use when you need to cache results of client requests and manage the life cycle of this cache, especially if results are quite large.</li><li><b>Smart reference.</b> Use when you need to be able to dismiss a heavyweight object once there are no clients that use it.</li></ol>	design-patterns structural proxy
When should you use the Chain of Responsibility?	<ol><li>Use the Chain of Responsibility pattern when your program is expected to process different kinds of requests in various ways, but the exact types of requests and their sequences are unknown beforehand.</li><li>Use the pattern when it’s essential to execute several handlers in a particular order.</li><li>Use the CoR pattern when the set of handlers and their order are supposed to change at runtime.</li></ol>	design-patterns behavioral chain-of-responsibility
When should you use the Command?	<ol><li>Use the Command pattern when you want to parameterize objects with operations.</li><li>Use the Command pattern when you want to queue operations, schedule their execution, or execute them remotely.</li><li>Use the Command pattern when you want to implement reversible operations.</li></ol>	design-patterns behavioral command
When should you use the Iterator?	<ol><li>Use the Iterator pattern when your collection has a complex data structure under the hood, but you want to hide its complexity from clients (either for convenience or security reasons).</li><li>Use the pattern to reduce duplication of the traversal code across your app.</li><li>Use the Iterator when you want your code to be able to traverse different data structures or when types of these structures are unknown beforehand.</li></ol>	design-patterns behavioral iterator
When should you use the Mediator?	<ol><li>Use the Mediator pattern when it’s hard to change some of the classes because they are tightly coupled to a bunch of other classes.</li><li>Use the pattern when you can’t reuse a component in a different program because it’s too dependent on other components.</li><li>Use the Mediator when you find yourself creating tons of component subclasses just to reuse some basic behavior in various contexts.</li></ol>	design-patterns behavioral mediator
When should you use the Memento?	<ol><li>Use the Memento pattern when you want to produce snapshots of the object’s state to be able to restore a previous state of the object.</li><li>Use the pattern when direct access to the object’s fields/getters/setters violates its encapsulation.</li></ol>	design-patterns behavioral memento
When should you use the Observer?	<ol><li>Use the Observer pattern when changes to the state of one object may require changing other objects, and the actual set of objects is unknown beforehand or changes dynamically.</li><li>Use the pattern when some objects in your app must observe others, but only for a limited time or in specific cases.</li></ol>	design-patterns behavioral observer
When should you use the State?	<ol><li>Use the State pattern when you have an object that behaves differently depending on its current state, the number of states is enormous, and the state-specific code changes frequently.</li><li>Use the pattern when you have a class polluted with massive conditionals that alter how the class behaves according to the current values of the class’s fields.</li><li>Use State when you have a lot of duplicate code across similar states and transitions of a condition-based state machine.</li></ol>	design-patterns behavioral state
When should you use the Strategy?	<ol><li>Use the Strategy pattern when you want to use different variants of an algorithm within an object and be able to switch from one algorithm to another during runtime.</li><li>Use the Strategy when you have a lot of similar classes that only differ in the way they execute some behavior.</li><li>Use the pattern to isolate the business logic of a class from the implementation details of algorithms that may not be as important in the context of that logic.</li><li>Use the pattern when your class has a massive conditional statement that switches between different variants of the same algorithm.</li></ol>	design-patterns behavioral strategy
When should you use the Template Method?	<ol><li>Use the Template Method pattern when you want to let clients extend only particular steps of an algorithm, but not the whole algorithm or its structure.</li><li>Use the pattern when you have several classes that contain almost identical algorithms with some minor differences.</li></ol>	design-patterns behavioral template-method
